,FTAG,FTHG,Gameday,Season,TeamA,TeamH
0,0,2,1.0,1965.0,Karlsruhe,T1900 Berlin
1,0,1,1.0,1965.0,Schalke,VfB Stuttgar
2,1,1,1.0,1965.0,M´gladbach,Neunkirchen
3,0,1,1.0,1965.0,B. München,TSV 1860
4,1,0,1.0,1965.0,Hannover,FC Köln
5,0,2,1.0,1965.0,Hamburg,Frankfurt
6,2,2,1.0,1965.0,K´lautern,Duisburg
7,0,1,1.0,1965.0,Nürnberg,Bremen
8,0,4,1.0,1965.0,Dortmund,Braunschweig
9,0,2,2.0,1965.0,Duisburg,VfB Stuttgar
10,0,0,2.0,1965.0,Karlsruhe,Schalke
11,4,1,2.0,1965.0,TSV 1860,Nürnberg
12,0,2,2.0,1965.0,Frankfurt,B. München
13,0,5,2.0,1965.0,T1900 Berlin,M´gladbach
14,2,3,2.0,1965.0,FC Köln,K´lautern
15,1,2,2.0,1965.0,Bremen,Hannover
16,1,2,2.0,1965.0,Braunschweig,Hamburg
17,0,1,2.0,1965.0,Neunkirchen,Dortmund
18,1,5,3.0,1965.0,Schalke,Duisburg
19,1,1,3.0,1965.0,Hamburg,Neunkirchen
20,0,5,3.0,1965.0,Hannover,TSV 1860
21,1,3,3.0,1965.0,VfB Stuttgar,FC Köln
22,3,3,3.0,1965.0,M´gladbach,Karlsruhe
23,2,1,3.0,1965.0,Nürnberg,Frankfurt
24,1,4,3.0,1965.0,K´lautern,Bremen
25,4,2,3.0,1965.0,B. München,Braunschweig
26,2,0,3.0,1965.0,Dortmund,T1900 Berlin
27,2,0,4.0,1965.0,Bremen,VfB Stuttgar
28,0,0,4.0,1965.0,M´gladbach,Schalke
29,1,1,4.0,1965.0,Braunschweig,Nürnberg
30,0,6,4.0,1965.0,Neunkirchen,B. München
31,0,3,4.0,1965.0,TSV 1860,K´lautern
32,1,4,4.0,1965.0,Frankfurt,Hannover
33,1,5,4.0,1965.0,T1900 Berlin,Hamburg
34,3,2,4.0,1965.0,FC Köln,Duisburg
35,1,4,4.0,1965.0,Karlsruhe,Dortmund
36,1,2,5.0,1965.0,Nürnberg,Neunkirchen
37,0,0,5.0,1965.0,VfB Stuttgar,TSV 1860
38,5,4,5.0,1965.0,Dortmund,M´gladbach
39,1,2,5.0,1965.0,Schalke,FC Köln
40,4,1,5.0,1965.0,Hamburg,Karlsruhe
41,0,6,5.0,1965.0,K´lautern,Frankfurt
42,0,2,5.0,1965.0,Duisburg,Bremen
43,1,2,5.0,1965.0,Hannover,Braunschweig
44,2,0,5.0,1965.0,B. München,T1900 Berlin
45,0,0,6.0,1965.0,Frankfurt,VfB Stuttgar
46,3,2,6.0,1965.0,Dortmund,Schalke
47,2,7,6.0,1965.0,T1900 Berlin,Nürnberg
48,1,5,6.0,1965.0,Karlsruhe,B. München
49,0,2,6.0,1965.0,Bremen,FC Köln
50,1,1,6.0,1965.0,Braunschweig,K´lautern
51,0,6,6.0,1965.0,Neunkirchen,Hannover
52,0,5,6.0,1965.0,M´gladbach,Hamburg
53,3,2,6.0,1965.0,TSV 1860,Duisburg
54,4,1,7.0,1965.0,K´lautern,Neunkirchen
55,1,2,7.0,1965.0,FC Köln,TSV 1860
56,2,1,7.0,1965.0,B. München,M´gladbach
57,2,1,7.0,1965.0,Nürnberg,Karlsruhe
58,0,2,7.0,1965.0,Duisburg,Frankfurt
59,2,2,7.0,1965.0,Hamburg,Dortmund
60,0,2,7.0,1965.0,Schalke,Bremen
61,1,1,7.0,1965.0,VfB Stuttgar,Braunschweig
62,5,1,7.0,1965.0,Hannover,T1900 Berlin
63,0,2,8.0,1965.0,Neunkirchen,VfB Stuttgar
64,1,2,8.0,1965.0,Hamburg,Schalke
65,2,2,8.0,1965.0,M´gladbach,Nürnberg
66,2,0,8.0,1965.0,Dortmund,B. München
67,0,1,8.0,1965.0,Frankfurt,FC Köln
68,0,0,8.0,1965.0,T1900 Berlin,K´lautern
69,2,5,8.0,1965.0,Karlsruhe,Hannover
70,1,4,8.0,1965.0,Braunschweig,Duisburg
71,2,0,8.0,1965.0,TSV 1860,Bremen
72,1,0,9.0,1965.0,Duisburg,Neunkirchen
73,0,2,9.0,1965.0,Hannover,M´gladbach
74,2,0,9.0,1965.0,VfB Stuttgar,T1900 Berlin
75,0,2,9.0,1965.0,Nürnberg,Dortmund
76,0,1,9.0,1965.0,K´lautern,Karlsruhe
77,2,1,9.0,1965.0,FC Köln,Braunschweig
78,0,3,9.0,1965.0,Schalke,TSV 1860
79,4,0,9.0,1965.0,B. München,Hamburg
80,0,1,9.0,1965.0,Bremen,Frankfurt
81,0,1,10.0,1965.0,Karlsruhe,VfB Stuttgar
82,1,1,10.0,1965.0,B. München,Schalke
83,0,5,10.0,1965.0,Hamburg,Nürnberg
84,2,4,10.0,1965.0,Frankfurt,TSV 1860
85,2,4,10.0,1965.0,Neunkirchen,FC Köln
86,2,1,10.0,1965.0,M´gladbach,K´lautern
87,1,1,10.0,1965.0,Dortmund,Hannover
88,0,3,10.0,1965.0,T1900 Berlin,Duisburg
89,0,4,10.0,1965.0,Braunschweig,Bremen
90,2,1,11.0,1965.0,Bremen,Neunkirchen
91,0,0,11.0,1965.0,Nürnberg,B. München
92,0,1,11.0,1965.0,VfB Stuttgar,M´gladbach
93,4,0,11.0,1965.0,Duisburg,Karlsruhe
94,1,2,11.0,1965.0,Hannover,Hamburg
95,1,4,11.0,1965.0,Schalke,Frankfurt
96,0,4,11.0,1965.0,K´lautern,Dortmund
97,2,2,11.0,1965.0,TSV 1860,Braunschweig
98,6,0,11.0,1965.0,FC Köln,T1900 Berlin
99,4,3,12.0,1965.0,B. München,Hannover
100,2,3,12.0,1965.0,M´gladbach,Duisburg
101,1,1,12.0,1965.0,Dortmund,VfB Stuttgar
102,0,1,12.0,1965.0,Nürnberg,Schalke
103,1,4,12.0,1965.0,Neunkirchen,TSV 1860
104,0,2,12.0,1965.0,Karlsruhe,FC Köln
105,1,2,12.0,1965.0,Hamburg,K´lautern
106,0,5,12.0,1965.0,T1900 Berlin,Bremen
107,1,4,12.0,1965.0,Braunschweig,Frankfurt
108,6,1,13.0,1965.0,Frankfurt,Neunkirchen
109,3,2,13.0,1965.0,FC Köln,M´gladbach
110,1,1,13.0,1965.0,Duisburg,Dortmund
111,1,2,13.0,1965.0,Hannover,Nürnberg
112,5,0,13.0,1965.0,TSV 1860,T1900 Berlin
113,0,3,13.0,1965.0,K´lautern,B. München
114,0,3,13.0,1965.0,Schalke,Braunschweig
115,2,3,13.0,1965.0,Bremen,Karlsruhe
116,1,4,13.0,1965.0,VfB Stuttgar,Hamburg
117,1,0,14.0,1965.0,B. München,VfB Stuttgar
118,0,1,14.0,1965.0,Hannover,Schalke
119,0,2,14.0,1965.0,Karlsruhe,TSV 1860
120,2,1,14.0,1965.0,Dortmund,FC Köln
121,0,0,14.0,1965.0,Nürnberg,K´lautern
122,0,4,14.0,1965.0,T1900 Berlin,Frankfurt
123,1,3,14.0,1965.0,Hamburg,Duisburg
124,0,2,14.0,1965.0,M´gladbach,Bremen
125,2,1,14.0,1965.0,Neunkirchen,Braunschweig
126,0,1,15.0,1965.0,Schalke,Neunkirchen
127,0,4,15.0,1965.0,K´lautern,Hannover
128,1,1,15.0,1965.0,VfB Stuttgar,Nürnberg
129,2,2,15.0,1965.0,FC Köln,Hamburg
130,0,3,15.0,1965.0,Duisburg,B. München
131,0,4,15.0,1965.0,Frankfurt,Karlsruhe
132,1,2,15.0,1965.0,Bremen,Dortmund
133,1,1,15.0,1965.0,TSV 1860,M´gladbach
134,2,0,15.0,1965.0,Braunschweig,T1900 Berlin
135,1,3,16.0,1965.0,T1900 Berlin,Neunkirchen
136,1,6,16.0,1965.0,B. München,FC Köln
137,1,3,16.0,1965.0,M´gladbach,Frankfurt
138,1,2,16.0,1965.0,K´lautern,Schalke
139,0,2,16.0,1965.0,Hamburg,Bremen
140,0,2,16.0,1965.0,Karlsruhe,Braunschweig
141,2,4,16.0,1965.0,Hannover,VfB Stuttgar
142,1,2,16.0,1965.0,Dortmund,TSV 1860
143,2,1,16.0,1965.0,Nürnberg,Duisburg
144,2,1,17.0,1965.0,Schalke,T1900 Berlin
145,1,3,17.0,1965.0,Bremen,B. München
146,0,2,17.0,1965.0,FC Köln,Nürnberg
147,0,1,17.0,1965.0,Braunschweig,M´gladbach
148,1,1,17.0,1965.0,Neunkirchen,Karlsruhe
149,2,1,17.0,1965.0,TSV 1860,Hamburg
150,3,0,17.0,1965.0,Duisburg,Hannover
151,2,1,17.0,1965.0,VfB Stuttgar,K´lautern
152,0,3,17.0,1965.0,Frankfurt,Dortmund
153,1,4,18.0,1965.0,Neunkirchen,M´gladbach
154,0,2,18.0,1965.0,VfB Stuttgar,Schalke
155,1,2,18.0,1965.0,Bremen,Nürnberg
156,0,3,18.0,1965.0,TSV 1860,B. München
157,0,3,18.0,1965.0,T1900 Berlin,Karlsruhe
158,0,1,18.0,1965.0,Duisburg,K´lautern
159,1,1,18.0,1965.0,FC Köln,Hannover
160,1,0,18.0,1965.0,Frankfurt,Hamburg
161,1,1,18.0,1965.0,Braunschweig,Dortmund
162,3,1,19.0,1965.0,Dortmund,Neunkirchen
163,0,0,19.0,1965.0,M´gladbach,T1900 Berlin
164,1,1,19.0,1965.0,Nürnberg,TSV 1860
165,2,3,19.0,1965.0,K´lautern,FC Köln
